_group1.cytoplasm,auto,0.167311,0.556347,20,",,SUB1,RRN5,.."
_group1.nucleus,auto,0.167311,0.556347,20,",,SUB1,RRN5,.."
_group1.nucleolus,auto,0.167311,0.556347,20,",,SUB1,RRN5,.."
_group1.unknown,auto,0.167311,0.556347,20,",,SUB1,RRN5,.."
_group10.cytoplasm,auto,0.176849,0.422425,46,"NAM7,NMD2,UPF3,MSN5,.."
_group10.nucleus,auto,0.176849,0.422425,46,"NAM7,NMD2,UPF3,MSN5,.."
_group10.punctate composite,auto,0.176849,0.422425,46,"NAM7,NMD2,UPF3,MSN5,.."
_group10.nuclear periphery,auto,0.176849,0.422425,46,"NAM7,NMD2,UPF3,MSN5,.."
_group1002.cytoplasm,auto,0,0,312,"HOM3,SPP41"
_group1002.nucleus,auto,0,0,312,"HOM3,SPP41"
_group1013.cytoplasm,auto,0.188312,0.23717,47,",,,HUA1,.."
_group1013.nucleus,auto,0.188312,0.23717,47,",,,HUA1,.."
_group1013.punctate composite,auto,0.188312,0.23717,47,",,,HUA1,.."
_group1013.unknown,auto,0.188312,0.23717,47,",,,HUA1,.."
_group1018.mitochondrion,auto,0.5,1.08202,313,"PET54,PET494"
_group1019.nucleus,auto,0,0,314,"SFL1,MGA1"
_group1019.unknown,auto,0,0,314,"SFL1,MGA1"
_group1022.cytoplasm,auto,0,0,315,"MTR2,MIP6"
_group1022.nuclear periphery,auto,0,0,315,"MTR2,MIP6"
_group1025.cytoplasm,auto,0,0,208,"OSH3,PML1,MRI1"
_group1025.nucleus,auto,0,0,208,"OSH3,PML1,MRI1"
_group1025.unknown,auto,0,0,208,"OSH3,PML1,MRI1"
_group1027.cytoplasm,auto,0,0,316,"PIG2,PIG1"
_group1027.punctate composite,auto,0,0,316,"PIG2,PIG1"
_group1027.unknown,auto,0,0,316,"PIG2,PIG1"
_group1028.cytoplasm,auto,0.0816327,0.0588855,146,",STE2,SYG1,STE18"
_group1028.punctate composite,auto,0.0816327,0.0588855,146,",STE2,SYG1,STE18"
_group1028.vacuolar membrane,auto,0.0816327,0.0588855,146,",STE2,SYG1,STE18"
_group1028.vacuole,auto,0.0816327,0.0588855,146,",STE2,SYG1,STE18"
_group1028.unknown,auto,0.0816327,0.0588855,146,",STE2,SYG1,STE18"
_group1029.nucleus,auto,0.385965,2.11036,121,"GAR1,NHP2,NAF1,SHQ1,.."
_group1029.nucleolus,auto,0.385965,2.11036,121,"GAR1,NHP2,NAF1,SHQ1,.."
_group1030.ER,auto,0,0,317,",IZH4"
_group1030.unknown,auto,0,0,317,",IZH4"
_group1033.cytoplasm,auto,0,0,610,BNI5
_group1033.bud neck,auto,0,0,610,BNI5
_group1033.bud,auto,0,0,610,BNI5
_group1036.bud neck,auto,0,0,611,MSB4
_group1036.cell periphery,auto,0,0,611,MSB4
_group1036.bud,auto,0,0,611,MSB4
_group1037.cytoplasm,auto,0,0,612,TFS1
_group1037.nucleus,auto,0,0,612,TFS1
_group1039.unknown,auto,0,0,613,mitochondrial
_group1042.cytoplasm,auto,0,0,614,SLG1
_group1042.bud neck,auto,0,0,614,SLG1
_group1042.bud,auto,0,0,614,SLG1
_group1042.vacuole,auto,0,0,614,SLG1
_group1049.mitochondrion,auto,0,0,318,"NTG2,MLH3"
_group1049.unknown,auto,0,0,318,"NTG2,MLH3"
_group1051.punctate composite,auto,1,2.4273,209,"PEX1,PEX6,PEX15"
_group1051.peroxisome,auto,1,2.4273,209,"PEX1,PEX6,PEX15"
_group1065.cytoplasm,auto,0,0,12,",,,,.."
_group1065.ER,auto,0,0,12,",,,,.."
_group1065.vacuole,auto,0,0,12,",,,,.."
